"EVENT" "median_value" "mean_value" "var_value"
"HsaEX0004926" 93.56 86.71875 399.098780244755
"HsaEX0004950" 83.63 79.2689285714286 646.556761003861
"HsaEX0004971" 56.67 55.8982517482517 221.611965231951
"HsaEX0005018" 66.81 65.026993006993 462.664839485866
"HsaEX0005029" 35.8 46.23408 1349.67646628387
"HsaEX0005036" 0 15.2053543307087 992.872171103612
"HsaEX0005074" 61.51 58.3298581560284 920.285992836879
"HsaEX0005089" 90.765 86.6812878787879 229.673015885959
"HsaEX0005100" 19.385 19.9952777777778 164.020367754468
"HsaEX0005107" 0 14.8073469387755 894.487653231292
"HsaEX0005111" 87.695 85.6710144927536 124.429474875701
"HsaEX0005121" 66.67 62.1454639175258 1390.19289587629
"HsaEX0005132" 30.31 32.2114074074074 546.718564422333
"HsaEX0005138" 89.51 87.0353623188406 175.282733079446
"HsaEX0005149" 46.62 48.9266206896552 349.172869750958
"HsaEX0005151" 12.77 19.0049655172414 363.94030433908
"HsaEX0005164" 0 14.6221621621622 856.766595261014
"HsaEX0005173" 88.89 85.079 357.294926513761
"HsaEX0005233" 100 86.5495238095238 730.427985133566
"HsaEX0005271" 11.425 16.4609420289855 280.777592536761
"HsaEX0005276" 90.78 87.3255384615385 184.305922576029
"HsaEX0005288" 60 62.9267424242424 760.448678620171
"HsaEX0005298" 86.59 77.4692741935484 597.811993777865
"HsaEX0005357" 86.18 84.8969230769231 215.798558071506
"HsaEX0005367" 61.08 55.4080689655172 710.386168467433
"HsaEX0005393" 75.415 73.7780714285714 361.620407045221
"HsaEX0005401" 36.26 39.23272 742.677176412903
"HsaEX0005409" 69.29 67.4916551724138 200.687890296935
"HsaEX0005421" 58.97 55.240979020979 724.244837062937
"HsaEX0005425" 22.77 25.8716783216783 393.939225332414
"HsaEX0005441" 92.31 85.7021238938053 448.548099020228
"HsaEX0005450" 94 85.377731092437 440.724105825381
"HsaEX0005500" 59.815 59.4769285714286 549.929417117163
"HsaEX0005510" 80.77 66.41744 1283.83397565161
"HsaEX0005517" 95.525 78.5137692307692 914.329997310674
"HsaEX0005536" 32.525 39.2648387096774 1107.89287395751
"HsaEX0005537" 93.38 86.0200729927007 398.134636024045
"HsaEX0005546" 80.65 78.8886956521739 349.807807932876
"HsaEX0005556" 9.095 19.2761904761905 595.468385371429
"HsaEX0005584" 48.08 46.0347154471545 1390.53051036919
"HsaEX0005604" 98.87 82.791897810219 858.827318430657
"HsaEX0005606" 72.83 61.4019858156028 1476.20998888551
"HsaEX0005610" 55.17 56.1059420289855 299.896903120702
"HsaEX0005617" 34.99 39.8241549295775 508.447414529018
"HsaEX0005618" 82.73 80.8695172413793 155.301807404215
"HsaEX0005622" 19.48 22.8621739130435 424.689043734015
"HsaEX0005684" 42.86 46.2666666666667 1476.67509768977
"HsaEX0005713" 89.66 75.3846031746032 787.94896424127
"HsaEX0005719" 91.86 87.036 236.90226789916
"HsaEX0005734" 1.3 15.2968965517241 742.564588218391
"HsaEX0005756" 37.545 40.9143661971831 470.621809169913
"HsaEX0005757" 55.37 57.2331428571429 513.76738717369
"HsaEX0005812" 78 74.012275862069 306.480602423372
"HsaEX0005817" 68.375 68.5897101449275 403.812994075955
"HsaEX0005820" 90.7 86.6283941605839 332.174592990554
"HsaEX0005839" 18.35 20.6393793103448 169.498921139847
"HsaEX0005846" 2.94 12.6412643678161 610.851199545576
"HsaEX0005847" 28.8 34.6309090909091 1585.98852909091
"HsaEX0005897" 16.67 26.7506422018349 905.621965324499
"HsaEX0005900" 92.155 87.4970289855072 325.776269210833
"HsaEX0005901" 81.82 76.690162601626 716.409078661869
"HsaEX0005909" 100 87.3674603174603 475.460777316948
"HsaEX0005911" 64.32 61.1082089552239 1352.58499068295
"HsaEX0005920" 100 82.8798901098901 723.242894432234
"HsaEX0005960" 90.64 84.9385039370079 274.242657267842
"HsaEX0005965" 75.5 74.170546875 428.794827257628
"HsaEX0005970" 25.965 28.94675 501.51857842437
"HsaEX0005986" 67.72 66.4629861111111 611.505181929876
"HsaEX0006013" 21.11 22.4446808510638 228.688122218845
"HsaEX0006038" 99.18 78.7862068965517 893.19074676346
"HsaEX0006040" 35.085 48.7696153846154 1698.70329693801
"HsaEX0006044" 33.99 40.3880882352941 613.482624466231
"HsaEX0006045" 55.955 57.8181538461538 395.727807418008
"HsaEX0006102" 25.575 39.1904545454545 1643.09289025974
"HsaEX0006127" 52.335 51.4610833333333 1245.51086016106
"HsaEX0006131" 1.85 13.0808333333333 505.012441316527
"HsaEX0006159" 37.61 37.9507971014493 515.494036586269
"HsaEX0006164" 78.58 73.3884722222222 327.550729118104
"HsaEX0006179" 62.16 62.1047368421053 705.020932695375
"HsaEX0006190" 89.1 86.7420567375887 162.615707882472
"HsaEX0006192" 46.76 49.5854545454545 1155.36750727273
"HsaEX0006194" 0 28.31125 1966.12522819149
"HsaEX0006199" 100 77.8195833333333 966.816665036232
"HsaEX0006254" 8.62 14.7866896551724 313.102143132184
"HsaEX0006273" 76.75 73.8351748251748 379.018804018517
"HsaEX0006279" 10.27 13.9224475524476 213.954462277159
"HsaEX0006287" 88.065 87.1914179104478 59.9014799293009
"HsaEX0006292" 82.37 79.9659259259259 203.25390790492
"HsaEX0006316" 65.165 62.5990277777778 1136.46920608372
"HsaEX0006320" 92 78.6272 854.695133945946
"HsaEX0006332" 6.17 17.0014482758621 547.366958304598
"HsaEX0006336" 81.43 80.647724137931 127.662107978927
"HsaEX0006338" 84.07 82.990275862069 145.928354090038
"HsaEX0006370" 15.65 17.5766901408451 228.312196768555
"HsaEX0006378" 72.73 73.3648672566372 564.384823419722
"HsaEX0006385" 15.79 20.03 241.843064748201
"HsaEX0006387" 74.65 70.5841007194245 460.195759149202
"HsaEX0006440" 21.3 22.8425517241379 291.36608302682
"HsaEX0006445" 12.66 17.9666666666667 384.669810178117
"HsaEX0006489" 33.33 41.0351785714286 1481.53365942728
"HsaEX0006495" 69.29 69.1463448275862 211.004533074713
"HsaEX0006523" 10.28 14.8254814814815 338.961999579878
"HsaEX0006540" 91.01 86.6240277777778 212.416861985237
"HsaEX0006571" 47.43 50.1937762237762 675.302484231262
